Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Cooperator Hunter,3.34723880597,0.15223694029850746,96.0,0.1435,0.09897201492537314,0.05326492537313432,0.550555970149254,0.2972070895522387,0.157720959924,0.152563795234,0.152023599936,0.150916272428
1,$e$,3.30742537313,0.17458582089552238,94.0,0.15025,0.11617164179104478,0.0584141791044776,0.5338917910447762,0.2915223880597014,0.225727225524,0.21079336328,0.161021438488,0.154195648037
2,Hesitant QLearner,3.27074626866,0.18601119402985075,93.0,0.1845,0.11906529850746274,0.06694589552238807,0.5238078358208953,0.29018097014925387,0.184685806621,0.195296708022,0.184777612744,0.18423344093
3,Opposite Grudger,3.26914179104,0.17052611940298507,94.0,0.85475,0.10090858208955225,0.0696175373134328,0.5332444029850745,0.29622947761194035,0.148978277349,0.340554100475,0.151465095391,0.160540762104
4,Risky QLearner,3.26884328358,0.18703731343283583,93.0,0.1935,0.11957089552238809,0.06746641791044779,0.5231735074626865,0.2897891791044776,0.184767712653,0.194112488184,0.185247354106,0.18661959397
5,Cautious QLearner,3.26097014925,0.18694589552238805,93.0,0.187,0.11943470149253727,0.06751119402985076,0.5232070895522389,0.2898470149253731,0.186763798522,0.193595015228,0.184197665759,0.187500934259
6,$\phi$,3.25992537313,0.20392164179104477,91.0,0.156,0.13510261194029852,0.06881902985074626,0.5155914179104478,0.2804869402985074,0.303381833314,0.316923235777,0.170532103889,0.162793634351
7,Tricky Cooperator,3.2325,0.20123880597014926,96.0,0.15025,0.13758395522388062,0.06365485074626867,0.5062518656716418,0.292509328358209,0.336414678928,0.150621353352,0.177828722864,0.150902344278
8,Champion,3.1447761194,0.265285447761194,83.0,0.1435,0.13583022388059707,0.129455223880597,0.5003936567164179,0.23432089552238808,0.150798630956,0.444711616998,0.149460592647,0.35005178389
9,Cycler CCCCCD,3.0825,0.26513246268656715,89.0,0.15625,0.1708973880597015,0.09423507462686564,0.45861567164179107,0.2762518656716418,0.21500480358,0.210781384523,0.288689885236,0.272440727411
10,Slow Tit For Two Tats,3.0721641791,0.28517910447761197,82.5,0.14575,0.1425373134328358,0.14264179104477612,0.4824944029850747,0.23232649253731355,0.151971108454,0.59666315957,0.149902001413,0.361284181863
11,Hopeless,3.07074626866,0.2744365671641791,94.0,0.50725,0.17438059701492534,0.10005597014925378,0.45640298507462695,0.26916044776119397,0.849457444571,0.151680463013,0.151464230166,0.150056739513
