Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Tullock: 11,2.03,0.14513592451134577,27.0,0.1445,0.048125350129345615,0.09688044937992243,0.259768471148279,0.5952257293424529,0.916666666667,0.666666666667,0.552777777778,0.430357142857
1,Tit For 2 Tats,1.99333333333,0.1512249443207127,27.0,0.14525,0.04503872975198771,0.10624634784196782,0.26014786977407406,0.5885670526319704,0.791666666667,0.861111111111,0.711038961039,0.339160401003
2,Meta Hunter: 6 players,1.98333333333,0.14068780705672176,26.5,0.14225,0.04328703051454981,0.0973160841125223,0.25672353334332937,0.6026733520295986,0,0.740740740741,0.685185185185,0.391927083333
3,Hard Tit For 2 Tats,1.98083333333,0.1519157517365001,27.0,0.14625,0.04492156618116887,0.10719919084797748,0.25254811186276277,0.5953311311080909,0.875,1.0,0.509420289855,0.406656746032
4,Cycle Hunter,1.97916666667,0.1413870246085011,26.0,0.14175,0.03957652905127993,0.101613449836337,0.25844792816286355,0.6003620929495196,1.0,0.916666666667,0.646666666667,0.362770562771
5,"Stein and Rapoport: 0.05: ('D', 'D')",1.97916666667,0.14517218095881163,26.0,0.14425,0.04741650386871613,0.09770495476974454,0.2562566825140767,0.5986218588474627,1.0,1.0,0.528571428571,0.427272727273
6,Once Bitten,1.97333333333,0.1536394176931691,26.5,0.15,0.04932765647651399,0.10394896524567546,0.24926436258682083,0.5974590156909898,0.9,0.833333333333,0.545739348371,0.385424710425
7,Anti Tit For Tat,1.97,0.17205024674742037,26.0,0.15075,0.05948422314470792,0.11219161925560826,0.24612388345790578,0.5822002741417781,1.0,0.583333333333,0.915,0.394982993197
8,Davis: 10,1.96916666667,0.15965819653699123,26.0,0.16125,0.04875543676752669,0.11116046133699285,0.25422151654385006,0.5858625853516305,1.0,0.75,0.59880952381,0.491919191919
9,VeryBad,1.965,0.15470601386094343,26.0,0.153,0.04470265687630858,0.10962257268446751,0.25069870436563996,0.594976066073584,0.944444444444,0.638888888889,0.719494047619,0.441203703704
10,Tricky Cooperator,1.96333333333,0.14781634938409854,26.0,0.1445,0.04308639353934179,0.10463582768034198,0.2552901815900506,0.5969875971902656,0.916666666667,0.65,0.636458333333,0.392324561404
11,Soft Go By Majority,1.95833333333,0.19534778681120143,25.0,0.1475,0.0676907921868917,0.1260903379234024,0.23306006320158182,0.5731588066881241,0.766666666667,0.965517241379,0.630158730159,0.869880952381
12,Stalker: D,1.955,0.18835386338185892,24.5,0.14525,0.06634774850476895,0.12153954251914051,0.2387868017688467,0.5733259072072439,1.0,0.882352941176,0.905673758865,0.648725687458
13,PSO Gambler 2_2_2 Noise 05,1.95416666667,0.15408875872944358,26.0,0.149,0.050285909277991904,0.10408902814227322,0.2567246619657108,0.5889004006140242,0.928571428571,0.916666666667,0.65,0.345972644377
14,Knowledgeable Worse and Worse,1.95125,0.14438027543314083,26.5,0.14275,0.04644099577489343,0.09777392963702577,0.2609100781373833,0.5948749964506975,1.0,1.0,0.574741200828,0.384656084656
15,Cycler CCD,1.95,0.16230132079695545,26.0,0.157,0.054308362425690586,0.10739170875056382,0.2469166734728788,0.5913832553508669,1.0,0.944444444444,0.626388888889,0.406859410431
16,$e$,1.9475,0.1641323792486583,25.0,0.14375,0.051603195895918524,0.11224456089009448,0.2433321304082114,0.5928201128057756,0.968253968254,0.741666666667,0.849346405229,0.315158730159
17,"Feld: 1.0, 0.5, 200",1.9425,0.19730337078651686,25.0,0.149,0.06467612400515611,0.13173351507858017,0.22739646626455506,0.5761938946517087,0.875,0.931818181818,0.631060606061,0.896332785988
18,GrudgerAlternator,1.9425,0.16514374860708714,25.5,0.15375,0.050889007403916886,0.1135250287292528,0.23763553881734176,0.5979504250494886,0.833333333333,0.931623931624,0.666071428571,0.382142857143
19,"DoubleCrosser: ('D', 'D')",1.94208333333,0.15781214974221028,27.0,0.16,0.04115626016379772,0.1166838408882982,0.2552663932126245,0.5868935057352795,0.916666666667,0.727272727273,0.459523809524,0.380423280423
20,Soft Go By Majority: 20,1.94166666667,0.19399641577060933,24.0,0.14025,0.06342591526710827,0.12914461042152178,0.2357625341985885,0.5716669401127815,0.875,0.961484593838,0.652083333333,0.875401606426
21,Winner12,1.941,0.15544157002676182,26.0,0.14725,0.050462317684375355,0.104621964830376,0.2490786270870487,0.5958370903982,1.0,0.757575757576,0.712345679012,0.416989664083
22,Champion,1.93833333333,0.1560473954840152,26.0,0.159,0.04610611454014222,0.1099374620591561,0.24947435643005464,0.594482066970647,1.0,1.0,0.607843137255,0.3421875
23,Cycler CCCCCD,1.9375,0.14390896921017404,26.0,0.14175,0.03772956620195152,0.10591676230173426,0.2525157057705945,0.6038379657257198,0.916666666667,0.761904761905,0.490178571429,0.405657305657
24,Revised Downing: True,1.93583333333,0.15022421524663676,26.5,0.14775,0.044341978277600606,0.10569048268307052,0.25145937531447915,0.5985081637248498,0.416666666667,0.751851851852,0.6125,0.485347985348
25,Slow Tit For Two Tats,1.935,0.16099210822998872,25.0,0.15825,0.049205618825294783,0.11112267227748866,0.2486746912608648,0.5909970176363518,1.0,0.777777777778,0.595739348371,0.463425925926
26,EvolvedLookerUp2_2_2,1.935,0.15721013680197354,25.5,0.15175,0.05385185044417219,0.10311328790271394,0.2380501579670539,0.6049847036860599,0.863636363636,0.761904761905,0.634408602151,0.448412698413
27,Nice Meta Winner Ensemble: 173 players,1.93416666667,0.19679530580004514,24.0,0.15025,0.07033306739027939,0.12624889009238635,0.23385572501520854,0.5695623175021257,0.884615384615,0.985714285714,0.522222222222,0.889887640449
28,Retaliate 2: 0.08,1.93333333333,0.15153538050734314,25.5,0.143,0.04966349353854816,0.1018147066679125,0.2505162275045251,0.5980055722890142,0.833333333333,0.939814814815,0.633333333333,0.376041666667
29,Adaptive,1.93166666667,0.14975413500223514,25.0,0.14875,0.04441830311331622,0.10551431868962806,0.2552897007348566,0.5947776774621992,0.777777777778,0.738095238095,0.567805383023,0.401152073733
30,CollectiveStrategy,1.93166666667,0.2188898836168308,24.0,0.15025,0.07962627147526606,0.13762494325586802,0.22502823362951438,0.5577205516393515,0.942708333333,0.955555555556,0.842361111111,0.860040160643
31,"BackStabber: ('D', 'D')",1.92666666667,0.14466948586690406,25.0,0.1445,0.04221175444883217,0.10237427910527033,0.250055268025983,0.6053586984199144,1.0,0.780303030303,0.662698412698,0.364141414141
32,Forgetful Fool Me Once: 0.05,1.92666666667,0.16352624495289367,25.5,0.1605,0.04514661740944613,0.11866947354528981,0.24794517520922252,0.5882387338360416,0.833333333333,1.0,0.541666666667,0.447619047619
33,Level Punisher,1.92583333333,0.1542755079258763,26.0,0.155,0.04347610012417616,0.11085422717745384,0.24586262932291875,0.5998070433754513,0.9,0.796296296296,0.672619047619,0.343163265306
34,Meta Majority Finite Memory: 78 players,1.925,0.20533333333333334,24.0,0.15025,0.06813293933710712,0.1361156796903143,0.23288323528505167,0.5628681456875269,0.833333333333,0.925925925926,0.67931547619,0.866011235955
35,PSO Gambler 1_1_1,1.92,0.20619705751226036,23.5,0.14875,0.0685905936037821,0.13632498276176594,0.22564077509081204,0.5694436485436399,0.875,0.85,0.944598765432,0.822031344183
36,GTFT: 0.33,1.9175,0.17459254297834337,25.0,0.13875,0.053810825135215026,0.11924344687624072,0.23668372539327792,0.5902620025952663,0.9,0.865384615385,0.760416666667,0.667181069959
37,Shubik,1.91583333333,0.2006234691605433,23.0,0.143,0.07183711575151165,0.12788353465569674,0.21628023046073672,0.5839991191320549,0.9375,0.931623931624,0.550980392157,0.889529220779
38,Hard Tit For Tat,1.91583333333,0.1943946188340807,25.0,0.142,0.06415424221308838,0.12925009295355105,0.23656744493551968,0.5700282198978407,0.862745098039,0.924242424242,0.697368421053,0.912984496124
39,Soft Go By Majority: 40,1.91333333333,0.20871922295007905,24.0,0.15925,0.07371193594204055,0.13371941617694028,0.2268289815904099,0.5657396662906093,0.75,0.954166666667,0.63,0.884136546185
40,NMWE Long Memory: 95 players,1.91166666667,0.20396217919855922,24.0,0.1515,0.06545343161361361,0.13681809700964961,0.23180131133884754,0.5659271600378892,0.977777777778,0.919841269841,0.647916666667,0.915500095621
41,Adaptive Pavlov 2011,1.9075,0.20305480682839172,24.0,0.15025,0.0635085792206258,0.13882673532908277,0.22862770194637075,0.5690369835039205,1.0,0.956140350877,0.535544217687,0.897286821705
42,Meta Winner Stochastic: 47 players,1.9075,0.216252518468771,23.0,0.145,0.07775013167128694,0.13712768312618576,0.21901836810926445,0.5661038170932629,0.979166666667,0.955882352941,0.944202898551,0.871875
