noise,player_0,player_1,player_10,player_100,player_101,player_102,player_103,player_104,player_105,player_106,player_107,player_108,player_109,player_11,player_110,player_111,player_12,player_13,player_14,player_15,player_16,player_17,player_18,player_19,player_2,player_20,player_21,player_22,player_23,player_24,player_25,player_26,player_27,player_28,player_29,player_3,player_30,player_31,player_32,player_33,player_34,player_35,player_36,player_37,player_38,player_39,player_4,player_40,player_41,player_42,player_43,player_44,player_45,player_46,player_47,player_48,player_49,player_5,player_50,player_51,player_52,player_53,player_54,player_55,player_56,player_57,player_58,player_59,player_6,player_60,player_61,player_62,player_63,player_64,player_65,player_66,player_67,player_68,player_69,player_7,player_70,player_71,player_72,player_73,player_74,player_75,player_76,player_77,player_78,player_79,player_8,player_80,player_81,player_82,player_83,player_84,player_85,player_86,player_87,player_88,player_89,player_9,player_90,player_91,player_92,player_93,player_94,player_95,player_96,player_97,player_98,player_99,probend,repetitions,seed,size,turns
0.46819109749463483,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.39662970244337636,88.0,1000.0,112.0,105.0
0.6698255595592497,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.09913960392481702,64.0,1001.0,112.0,200.0
0.8627037401845356,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.09127403464611428,35.0,1002.0,112.0,16.0
0.42125020101147315,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.22094517308324657,86.0,1003.0,112.0,134.0
0.35999045686025677,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.7220617567237175,81.0,1004.0,112.0,128.0
0.9761073344853062,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.6132800246752349,23.0,1005.0,112.0,108.0
0.5374571935128641,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.8761340971511191,61.0,1006.0,112.0,124.0
0.2286410960833074,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.012392470279078194,17.0,1007.0,112.0,89.0
0.17403636788583787,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.31129214720098797,86.0,1008.0,112.0,9.0
0.3402956357666065,$e$,Cycler CCCCCD,Forgetful Fool Me Once: 0.05,Cycler DC,Stalker: D,DoubleResurrection,"Limited Retaliate: 0.1, 20",Firm But Fair,Willing,Tullock: 11,Thumper,Worse and Worse 3,Contrite Tit For Tat,Nice Meta Winner Ensemble: 173 players,Arrogant QLearner,GTFT: 0.33,Fortress4,"Limited Retaliate 2: 0.08, 15",Meta Hunter: 6 players,Ripoff,Evolved HMM 5,Meta Hunter Aggressive: 7 players,"ZD-SET-2: 0.25, 0.0, 2",Meta Winner: 173 players,Nydegger,Forgiver,Random: 0.5,Evolved FSM 4,Adaptive Pavlov 2011,Revised Downing: True,"DoubleCrosser: ('D', 'D')",Random Hunter,Prober,Meta Majority Long Memory: 95 players,Alternator,Knowledgeable Worse and Worse,Spiteful Tit For Tat,NMWE Finite Memory: 78 players,Fool Me Once,"Stein and Rapoport: 0.05: ('D', 'D')",Evolved ANN 5 Noise 05,Cycler CCD,Soft Go By Majority,"EugineNier: ('D',)",Grudger,Cooperator Hunter,Bully,Adaptive,Hard Go By Majority: 40,ALLCorALLD,Soft Go By Majority: 10,GrudgerAlternator,Sneaky Tit For Tat,Stochastic Cooperator,Cycler CCCDCD,EvolvedLookerUp1_1_1,Tit For Tat,Remorseful Prober: 0.1,MEM2,Hard Go By Majority: 5,Meta Majority Finite Memory: 78 players,Forgiving Tit For Tat,Level Punisher,Meta Majority Memory One: 30 players,ThueMorse,"Grumpy: Nice, 10, -10",Naive Prober: 0.1,Meta Mixer: 173 players,Eventual Cycle Hunter,Meta Majority: 173 players,Win-Stay Lose-Shift: C,"Gradual Killer: ('D', 'D', 'D', 'D', 'D', 'C', 'C')",Resurrection,Hard Tit For Tat,"Alexei: ('D',)",Average Copier,"ZD-GEN-2: 0.125, 0.5, 3",Forgetful Grudger,Hard Tit For 2 Tats,SolutionB5,ThueMorseInverse,Adaptive Pavlov 2006,Cycler DDC,Doubler,$\pi$,"Omega TFT: 3, 8",Shubik,Raider,Pun1,Evolved FSM 16,PSO Gambler 1_1_1,NMWE Long Memory: 95 players,Cycler CCCD,PSO Gambler 2_2_2,Calculator,Tricky Defector,Math Constant Hunter,Winner12,NMWE Deterministic: 126 players,Evolved ANN 5,Evolved ANN,Defector,Retaliate: 0.1,TF1,Opposite Grudger,Inverse Punisher,Meta Winner Deterministic: 126 players,Inverse,Nice Meta Winner: 173 players,"ZD-Extort-2 v2: 0.125, 0.5, 1",Meta Winner Stochastic: 47 players,Retaliate 3: 0.05,0.7081849781179302,66.0,1009.0,112.0,134.0
