Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Fortress4,4.28,0.0,85.0,0.0,0.0,0.0,0.7987889840709806,0.20121101592901927,0,0,0,0
1,Bully,4.24916666667,0.018816594876445252,83.0,0.0,0.006085104513694691,0.011994535062322986,0.7938110895110286,0.18810927091295365,0,1.0,0,1.0
2,Meta Minority: 173 players,4.24583333333,0.02091677792612372,83.0,0.0,0.004801840928112897,0.015799977921764376,0.788887961925306,0.19051021922481673,0,1.0,0,1.0
3,Fortress3,4.24,0.0008972633467922835,84.0,0.0,0.0,0.000894819046476642,0.7919625950728503,0.20714258588067294,0,0,0,0.231547619048
4,Defector,4.22333333333,0.0,83.5,0.0,0.0,0.0,0.7870974603740486,0.2129025396259514,0,0,0,0
5,Hard Go By Majority: 40,4.20916666667,0.08,80.0,0.0,0.03494146335575305,0.04395176620183521,0.7652012119739651,0.1559055584684467,1.0,1.0,0.996124031008,0
6,Hard Go By Majority: 5,4.2075,0.08225590726705305,80.0,0.0,0.03887329848528369,0.0416425945068728,0.7589590655952214,0.160525041412622,1.0,0,1.0,0
7,Hard Go By Majority: 10,4.19916666667,0.08183856502242152,80.0,0.0,0.03540692282690264,0.04503889881086568,0.7607148783756332,0.15883929998659846,1.0,1.0,0.991176470588,0
8,Hard Go By Majority: 20,4.19833333333,0.07977528089887641,79.5,0.0,0.038044942882600456,0.04013148089054007,0.7589442995101067,0.1628792767167529,1.0,1.0,1.0,0
9,Ripoff,4.19583333333,0.09622302158273381,79.0,0.0,0.04002001934134344,0.05396601955164248,0.7555418404675458,0.15047212063946833,1.0,0.97619047619,1.0,1.0
10,Opposite Grudger,4.18916666667,0.09329770652415943,79.0,0.0,0.04268728259666139,0.048605455097635974,0.7515750318176768,0.1571322304880258,1.0,1.0,1.0,0
11,Hard Go By Majority,4.17666666667,0.08504464285714286,80.0,0.0,0.04271301135020169,0.04060017398285178,0.7533489696169612,0.16333784504998525,1.0,0,1.0,0
12,SolutionB5,4.1725,0.0918548030101815,79.5,0.0,0.04382953884813918,0.04566051172060092,0.7484216018357569,0.16208834759550292,1.0,0,1.0,0
13,Tester,4.16875,0.10873915943962642,78.0,0.0,0.044614743072213865,0.06216958755428695,0.7459261145480103,0.147289554825489,1.0,0.975,1.0,1.0
14,Prober 2,4.15666666667,0.10947930574098798,79.0,0.0,0.046306478415807734,0.060711433455024985,0.7442547551147835,0.14872733301438373,1.0,0.975308641975,1.0,1.0
15,Desperate,3.39666666667,0.44998891106675537,46.0,0.494,0.3707411064493362,0.07981164201892832,0.4379096444669779,0.11153760706475754,0,0,0,1.0
16,Random: 0.5,3.35041666667,0.5077467906153165,42.0,0.51025,0.409822153897152,0.09893938800186404,0.4003688832532913,0.09086957484769276,0.619278033794,0.790350877193,0.632593489373,0.736974789916
17,SelfSteem,3.34833333333,0.5175834084761046,40.0,0.49375,0.41991196988967877,0.09735302365717415,0.3886395379322441,0.09409546852090303,0.926056338028,0,0.989726027397,0
18,Hopeless,3.33,0.5194805194805194,41.0,0.5115,0.4151680031772357,0.10376647076737745,0.3936227752764609,0.08744275077892591,0,1.0,1.0,1.0
19,ALLCorALLD,3.1925,0.5996421382241109,34.0,0.597,0.4945423477340915,0.1049673476921868,0.31624142303380076,0.08424888153992097,1.0,1.0,0,0
20,Meta Winner: 173 players,2.57583333333,0.8952551477170994,7.0,1.0,0.7416517510821976,0.15578088573551438,0.07842814136669256,0.024139221815595607,0,0,0,0
21,Meta Winner Long Memory: 95 players,2.5725,0.8871146595697494,8.0,1.0,0.7336200680504453,0.15588004156449628,0.08508694249778465,0.025412947887273846,0,0,0,0
22,Meta Winner Stochastic: 47 players,2.5725,0.8974646623289207,7.5,1.0,0.7420739905115915,0.1578722874950469,0.07830896654045347,0.021744755452908212,0,0,0,0
23,ThueMorseInverse,2.57,0.9006071508882393,6.0,1.0,0.7486225270937688,0.154025146072255,0.07459305171945013,0.02275927511452605,0,0,0.625,1.0
24,CollectiveStrategy,2.565,0.8967987463622118,8.0,1.0,0.7401607576437623,0.15914484597794168,0.0822652745352801,0.018429121843015872,0,0,0,1.0
25,Predator,2.565,0.8974646623289207,7.0,1.0,0.7412494766730368,0.1584917607800157,0.07932714594201952,0.020931616604927972,0,0,0,0
26,Cautious QLearner,2.5625,0.9500336096795877,4.0,0.9515,0.7756988268699943,0.1742725512286888,0.043506781730491585,0.0065218401708255136,0.930992965368,0.973333333333,1.0,1.0
27,TF2,2.56208333333,0.9039320822162645,6.0,1.0,0.7437754535995558,0.16155919463958907,0.07568836159167032,0.018976990169184867,0,0,1.0,0.333333333333
28,$e$,2.55666666667,0.9141899441340782,7.0,1.0,0.7537623059653831,0.16234661818277019,0.07007146586641903,0.013819609985427792,0,1.0,1.0,1.0
29,Risky QLearner,2.555,0.9481365065110013,4.0,0.947,0.7793680289176367,0.16855177295385443,0.0427328937620747,0.009347304366434099,0.950632152086,0.980952380952,1.0,1.0
30,Handshake,2.55416666667,0.8975795607350964,7.0,1.0,0.7383342560118396,0.16135538432815938,0.07650000293380499,0.023810356726196077,0,0,0,1.0
31,Hesitant QLearner,2.55083333333,0.9509271822704658,4.0,0.9505,0.7810522979714805,0.16984668037602513,0.03894432394848681,0.010156697704007624,0.9714969896,0.931954887218,0.964285714286,1.0
32,Anti Tit For Tat,2.55083333333,0.9197294250281849,6.5,1.0,0.7580338036997829,0.1635326977343506,0.06679236319684682,0.011641135369019718,0,1.0,0,1.0
33,$\phi$,2.54333333333,0.9184501013741834,6.5,1.0,0.7528246635213603,0.16752965422602184,0.06430494879605057,0.015340733456567163,0,1.0,0,1.0
34,"ZD-Extort-4: 0.23529411764705882, 0.25, 1",2.52208333333,0.9499553172475425,3.0,1.0,0.7856568406750344,0.16540606045256498,0.03784742497605015,0.011089673896350526,0.666116071429,0,0.9,0
35,Joss: 0.9,2.5075,0.9716471647164716,0.0,1.0,0.8073756283783515,0.16486235434542953,0.019465537033998233,0.008296480242220695,0.885968660969,0,1.0,0
36,"ZD-Extort-2: 0.1111111111111111, 0.5",2.50333333333,0.9779510022271715,1.0,1.0,0.8098649550612643,0.16858207901669015,0.015255144552502516,0.0062978213695430605,0.874517867753,0.620119047619,1.0,0
37,Stochastic Cooperator,2.5,0.9782413638402871,1.0,1.0,0.8099189311594843,0.16879609276534266,0.015097904284158772,0.0061870717910141254,0.931478294129,0.435897435897,0,0
38,Evolved FSM 16 Noise 05,2.5,0.9838165879973028,0.0,1.0,0.815000605438909,0.16916008476028144,0.010864140765661981,0.004975169035147493,1.0,0,1.0,0
39,Soft Go By Majority: 40,2.5,0.9802090282410496,0.0,1.0,0.8150932205675435,0.1656149089088688,0.01328528290830446,0.006006587615283269,1.0,0.611111111111,1.0,0
40,Doubler,2.4975,0.9814938684503902,0.0,1.0,0.811552720876119,0.17043008094544448,0.01236068051311835,0.005656517665318119,1.0,0,1.0,0
41,EvolvedLookerUp1_1_1,2.4975,0.9788559982194525,0.0,1.0,0.8090993082275295,0.17050090199492024,0.014243732544838019,0.006156057232712296,1.0,0,1.0,0
