Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.96992537313,0.7046138059701492,28.0,1.0,0.6390839552238805,0.06552985074626867,0.1894813432835821,0.10590485074626864,0.835714111748,0.480962473906,0.567605628916,0.800236926673
1,Evolved FSM 16 Noise 05,2.8748880597,0.6968003731343284,21.0,1.0,0.6763526119402986,0.020447761194029846,0.13514552238805969,0.1680541044776119,0.984541740992,0.570879050115,0.391925696198,0.0699035069667
2,PSO Gambler 1_1_1,2.87421641791,0.6843171641791045,23.0,1.0,0.6507014925373136,0.033615671641791044,0.15154291044776116,0.1641399253731343,1.0,0.283254898938,0,0.135500692024
3,PSO Gambler Mem1,2.86149253731,0.7055820895522388,23.0,1.0,0.6632947761194029,0.04228731343283581,0.14459888059701492,0.14981902985074624,1.0,0.510032356396,0,0.122102928083
4,Winner12,2.83470149254,0.6818544776119403,20.0,1.0,0.6505876865671641,0.03126679104477611,0.140919776119403,0.17722574626865667,1.0,0.441175092269,0,0.461920357828
5,Fool Me Once,2.82858208955,0.6274029850746269,25.0,1.0,0.6201809701492538,0.007222014925373135,0.14913805970149252,0.2234589552238805,1.0,0.605890944499,0,0
6,"DoubleCrosser: ('D', 'D')",2.82052238806,0.6753992537313432,74.5,1.0,0.6558414179104481,0.019557835820895524,0.13276679104477604,0.1918339552238804,0.994661073596,0.797344283163,0.315580465326,0
7,PSO Gambler 2_2_2 Noise 05,2.81899253731,0.701830223880597,26.0,1.0,0.6507518656716418,0.05107835820895526,0.14209514925373135,0.15607462686567164,0.829392078086,0.519367461022,0.73651804662,0.307573272624
8,"BackStabber: ('D', 'D')",2.8047761194,0.6397966417910448,79.0,1.0,0.6271175373134333,0.01267910447761193,0.14125746268656703,0.21894589552238775,0.995174200515,0.79161667281,0,0
9,Forgetful Fool Me Once: 0.05,2.78764925373,0.7507667910447762,22.5,1.0,0.7163208955223881,0.03444589552238807,0.09733022388059699,0.15190298507462682,1.0,0.661820736868,0.0502036937527,0.0508765295252
10,Meta Hunter: 6 players,2.77899253731,0.644188432835821,28.0,1.0,0.5957817164179103,0.04840671641791046,0.15881716417910452,0.19699440298507465,0.897588664226,0.78311038338,0.130302056752,0.162439474772
11,NMWE Stochastic: 47 players,2.76179104478,0.5541865671641791,28.0,1.0,0.5385578358208956,0.015628731343283582,0.17456343283582088,0.27125,0.881841976236,0.237944273765,0.0378384225231,0.107854888701
12,Nice Meta Winner Ensemble: 173 players,2.75246268657,0.5399944029850746,29.0,1.0,0.5326268656716417,0.007367537313432838,0.173865671641791,0.2861399253731343,0.963289019008,0.0821561056548,0.0200533363415,0.0602431444491
13,NMWE Memory One: 30 players,2.74235074627,0.5457406716417911,29.0,1.0,0.5358861940298508,0.0098544776119403,0.16863246268656717,0.2856268656716418,0.922941044628,0.122161369365,0.0310603438735,0.0568891947055
14,NMWE Long Memory: 95 players,2.74182835821,0.5403022388059702,29.5,1.0,0.5338526119402985,0.0064496268656716454,0.16988619402985075,0.2898115671641791,0.961442665672,0.0845070984843,0.0201704687944,0.0739204983785
15,EvolvedLookerUp1_1_1,2.73429104478,0.5887220149253731,27.0,1.0,0.5538376865671643,0.03488432835820896,0.16617350746268655,0.24510447761194032,0.959016746793,0,0.776841826081,0
16,Revised Downing: True,2.72985074627,0.7800093283582089,12.0,1.0,0.7306921641791045,0.0493171641791045,0.07899440298507461,0.14099626865671638,0.999825251207,0.863283505332,0.0677301710437,0.353144018593
17,Grudger,2.71212686567,0.5360503731343284,29.0,1.0,0.5320708955223881,0.0039794776119403,0.16291604477611937,0.30103358208955217,1.0,0,0,0
18,Level Punisher,2.70776119403,0.7342388059701492,19.0,1.0,0.7012126865671642,0.03302611940298509,0.0845279850746269,0.18123320895522396,0.989829604561,0.883044967074,0.125121004277,0
19,Once Bitten,2.67992537313,0.7882891791044776,18.0,1.0,0.7379067164179105,0.050382462686567146,0.0632108208955224,0.14849999999999997,1.0,0.732173309927,0.0915122159302,0.0607987500731
20,"Stein and Rapoport: 0.05: ('D', 'D')",2.66552238806,0.7488115671641791,76.0,1.0,0.7079104477611943,0.04090111940298505,0.07266044776119401,0.17852798507462672,0.99146309438,0.401701504284,0.68628395443,0
21,Davis: 10,2.66134328358,0.5600559701492537,30.0,1.0,0.542714552238806,0.01734141791044776,0.1478768656716418,0.29206716417910433,0.974728055659,0.833708537933,0,0
22,Shubik,2.63126865672,0.6625485074626866,23.0,1.0,0.6391847014925373,0.023363805970149247,0.09310634328358208,0.24434514925373127,1.0,0,0.471986739391,0
23,Retaliate 2: 0.08,2.63100746269,0.6005597014925373,29.0,1.0,0.5885354477611942,0.012024253731343281,0.11651305970149249,0.28292723880597004,1.0,0,0.0741533993978,0
24,Adaptive Pavlov 2011,2.62981343284,0.7218824626865672,24.0,1.0,0.6835130597014927,0.038369402985074616,0.07539179104477613,0.20272574626865666,0.993370094109,0.301270893882,0.578546748939,0.0304994347779
25,"ZD-GEN-2: 0.125, 0.5, 3",2.62186567164,0.844634328358209,4.0,1.0,0.7612257462686567,0.08340858208955222,0.04274440298507462,0.11262126865671641,1.0,0.560452123041,0.508498101532,0.133252237384
26,GTFT: 0.33,2.61973880597,0.8832761194029851,0.0,1.0,0.7877257462686567,0.09555037313432836,0.03537126865671643,0.0813526119402985,1.0,0.33577181761,1.0,0.354109597035
27,Soft Joss: 0.9,2.60615671642,0.8115876865671642,0.0,1.0,0.737794776119403,0.07379291044776118,0.050710820895522375,0.13770149253731342,1.0,0.0995980876264,1.0,0.107553998109
28,Soft Grudger,2.59604477612,0.7776716417910448,19.0,1.0,0.6846212686567165,0.09305037313432837,0.07869402985074626,0.14363432835820894,1.0,0.425780955244,0.34070676917,0.275197881213
29,Eatherley,2.59589552239,0.8696212686567164,0.0,1.0,0.7909235074626866,0.07869776119402982,0.02340485074626865,0.10697388059701494,1.0,0.522037620737,1.0,0.398188710329
30,Champion,2.59585820896,0.8809272388059701,0.0,1.0,0.7992388059701493,0.08168843283582088,0.019016791044776122,0.10005597014925376,1.0,0.749109181171,1.0,0.278716181732
31,VeryBad,2.5953358209,0.8309701492537314,5.0,1.0,0.7669701492537313,0.064,0.03156529850746268,0.13746455223880596,0.999953814323,0.777583595248,0.783177105593,0
32,Stalker: D,2.57899253731,0.8325559701492538,56.0,1.0,0.7568899253731342,0.07566604477611943,0.03357276119402986,0.13387126865671647,0.977645024065,0.637473976531,0.87568653647,0.15671452575
33,GrudgerAlternator,2.57854477612,0.7675111940298508,17.0,1.0,0.6266828358208956,0.1408283582089552,0.11574253731343288,0.11674626865671638,0.777946919117,0,1.0,1.0
34,Hard Tit For 2 Tats,2.56753731343,0.8351380597014926,0.0,1.0,0.7584085820895524,0.07672947761194031,0.03177611940298507,0.13308582089552234,1.0,0.697750592472,0.381922138202,0.366397591897
35,Soft Go By Majority: 20,2.56537313433,0.8056623134328358,5.5,1.0,0.7311847014925372,0.0744776119402985,0.04369962686567165,0.15063805970149255,1.0,0.746948463981,0.686802103883,0
